template_version,data_version,visit_id,address,ward,cluster,old_boundary,new_boundary,boundaries_value,boundaries_comment,feederpatterns_value,feederpatterns_comment,eschoicesets_value,eschoicesets_comment,mschoicesets_value,mschoicesets_comment,msproximity_value,msproximity_comment,hslottery_value,hslottery_comment,setasides_value,setasides_comment
1.2,1.1,b80fa324-168b-3bec-4afd-afd39b26ef58,39XX BENTON STREET NW,Ward 3,Cluster 14,Stoddert,Stoddert,2,,5,,2,,4,,2,,1,,4,
1.2,1.1,19ddc693-5355-66e2-2d6b-c2b6f9c776af,XX NEW YORK AVENUE NW,Ward 5,Cluster 21,"Cook,J.F.",Seaton,,,,,,,,,,,,,,
1.2,1.1,936fceed-63e5-fe85-f763-cd80bdc32e7e,17XX R STREET NW,Ward 2,Cluster 6,Ross,Ross,,,,,,,,,,,,,,
1.2,1.1,3a93a4da-6524-804c-a5bb-2b29f65396e9,14XX SPRING ROAD NW,Ward 4,Cluster 18,Powell,Raymond,,,,,,,,,,,,,,
1.2,1.1,2a66c76a-15a0-e5c4-499b-b6c26435a17f,37XX R STREET NW,Ward 2,Cluster 4,Stoddert,Hyde-Addison,,,,,,,,,,,,,,
1.2,1.1,19ddc693-5355-66e2-2d6b-c2b6f9c776af,37XX HARRISON STREET NW,Ward 3,Cluster 10,Murch,Murch,,,,,,,,,,,,,,
1.2,1.1,bee1cda7-bb85-75f2-259d-f444ffc6b26c,6XX MARYLAND AVENUE NE,Ward 6,Cluster 25,Peabody,Watkins,,,,,,,,,,,,,,
1.2,1.1,b0352b74-8edd-1d42-9dde-38958af3159e,22XX CATHEDRAL AVENUE NW,Ward 3,Cluster 15,Oyster,Oyster-Adams Lower,,,,,,,,,,,,,,
1.2,1.1,a7a64a73-9c3c-688f-057a-7ca614cabb11,14XX CHAPIN STREET NW,Ward 1,Cluster 2,Meyer,"Reed, Marie",5,,,,,,,,,,,,,
1.2,1.1,920faadf-0226-d2e8-fede-1fd01bdc5ded,12XX F STREET NE,Ward 6,Cluster 25,Miner,Miner,,,,,,,,,,,,,,
1.2,1.1,920faadf-0226-d2e8-fede-1fd01bdc5ded,10XX F STREET NW,Ward 2,Cluster 8,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,920faadf-0226-d2e8-fede-1fd01bdc5ded,10XX F STREET NW,Ward 2,Cluster 8,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,920faadf-0226-d2e8-fede-1fd01bdc5ded,11XX F STREET NW,Ward 2,Cluster 8,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,920faadf-0226-d2e8-fede-1fd01bdc5ded,10XX F STREET NE,Ward 6,Cluster 25,Ludlow-Taylor,Ludlow-Taylor,,,,,,,,,,,,,,
1.2,1.1,5bf1d743-90fc-a5dd-6b60-3c42350f3aa1,7XX 11TH STREET SE,Ward 6,Cluster 26,Tyler,Tyler,,,,,,,,,,,,,,
1.2,1.1,c6451a8c-6792-2bf2-567e-7e22851e4470,11XX G STREET NW,Ward 2,Cluster 8,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,4c231965-c71f-aa39-20f9-efb4c4def0d9,13XX HAMLIN STREET NE,Ward 5,Cluster 22,Slowe,Noyes,2,,2,,2,,3,,3,,3,,3,
1.2,1.1,4b0b6fbe-9742-c55d-b2ee-822df85a23ca,7XX IRVING STREET NW,Ward 1,Cluster 2,Bruce-Monroe,Tubman,5,"Tubman is only two short blocks away, whereas Park View was 7 blocks away, and across busy Georgia Ave.",0,"Middle School in DC is pretty universally terrible at the moment and Carzdozo has a bad rep. I don't think the idea of my children attending either of these schools, but I'm hopeful that they will improve by the time my child is old enough to attend. Both schools are relatively convenient and close by.",2,"I could live with this, but I'd much rather have guaranteed access to my neighborhood school.",3,Not really sure this will solve the middle school problem... Reserve judgment until this proposal is fleshed out better.,3,"Again, not sure what this would accomplish, but not kneejerk against it. Some sort of choice seems like a positive thing.",1,"Eliminating guaranteed access would create a ridiculous rat-race for spaces at the top schools, disincentivize improvements at the worst schools, and force some children (and their parents) to commute across the city to go to school.",3,Don't really understand how this would affect me.
1.2,1.1,c6451a8c-6792-2bf2-567e-7e22851e4470,10XX G STREET NE,Ward 6,Cluster 25,Ludlow-Taylor,Ludlow-Taylor,,,,,,,,,,,,,,
1.2,1.1,c6451a8c-6792-2bf2-567e-7e22851e4470,10XX G STREET SE,Ward 6,Cluster 26,Tyler,Tyler,,,,,,,,,,,,,,
1.2,1.1,1dd48474-230f-acaf-7a00-8e7e43c6b317,37XX T STREET NW,Ward 2,Cluster 4,Stoddert,Hyde-Addison,,,,,,,,,,,,,,
1.2,1.1,3a019780-65ee-8c25-b15a-a0a34585e1e9,XX HANOVER PLACE NW,Ward 5,Cluster 21,"Cook,J.F.",Seaton,,,,,,,,,,,,,,
1.2,1.1,777d0f91-fe53-6ecf-83c3-ebaf48cc5948,33XX BLAINE STREET NE,Ward 7,Cluster 32,RiverTerrace,Thomas,,,,,,,,,,,,,,
1.2,1.1,1dd48474-230f-acaf-7a00-8e7e43c6b317,3XX L STREET NE,Ward 6,Cluster 25,"Wilson,J.O.","Wilson, J.O.",,,,,,,,,,,,,,
1.2,1.1,1dd48474-230f-acaf-7a00-8e7e43c6b317,1XX NORTH CAROLINA AVENUE SE,Ward 6,Cluster 26,Brent,Brent,,,,,,,,,,,,,,
1.2,1.1,481c4e27-c4e5-cfdd-f7f5-1efaa60abe79,22XX ONTARIO ROAD NW,Ward 1,Cluster 1,"Reed,Marie","Reed, Marie",,,,,5,,,,5,,,,,
1.2,1.1,e5f6356a-59e1-11ba-93fc-84366a0a9ff5,25XX NAYLOR ROAD SE,Ward 7,Cluster 35,RandleHighland,Randle Highlands,,,,,,,,,,,,,,
1.2,1.1,be67e20a-b9e2-9333-51b8-8f6d328c76be,17XX U STREET NW,Ward 2,Cluster 6,"Reed,Marie","Reed, Marie",,,,,,,,,,,,,,
1.2,1.1,1dd48474-230f-acaf-7a00-8e7e43c6b317,XX FLORIDA AVENUE NW,Ward 5,Cluster 21,"Cook,J.F.",Seaton,,,,,,,,,,,,,,
1.2,1.1,777d0f91-fe53-6ecf-83c3-ebaf48cc5948,12XX HALF STREET SW,Ward 6,Cluster 9,Bowen,Amidon-Bowen,,,,,,,,,,,,,,
1.2,1.1,22521c93-2f47-c93c-a989-3bbb9fd93620,29XX VAN NESS STREET NW,Ward 3,Cluster 12,Hearst,Hearst,,,,,,,,,,,,,,
1.2,1.1,e5f6356a-59e1-11ba-93fc-84366a0a9ff5,23XX NAYLOR ROAD SE,Ward 8,Cluster 34,Orr,Orr,,,,,,,,,,,,,,
1.2,1.1,325356ba-4f02-b0be-8bca-8eda13919b1d,35XX 39TH STREET NW,Ward 3,Cluster 14,Eaton,Eaton,,,,,,,,,,,,,,
1.2,1.1,e5f6356a-59e1-11ba-93fc-84366a0a9ff5,19XX K STREET NW,Ward 2,Cluster 6,Stevens,School Without Walls @ Francis-Stevens,,,,,,,,,,,,,,
1.2,1.1,a64797b2-3023-ab28-ed61-c3c5a8897594,18XX CALVERT STREET NW,Ward 1,Cluster 1,Oyster,Oyster-Adams Lower,,,,,,,,,,,,,,
1.2,1.1,66be76ce-e1a8-d4d8-215c-249a927988e8,44XX CONNECTICUT AVENUE NW,Ward 3,Cluster 12,Hearst,Hearst,,,,,,,,,,,,,,
1.2,1.1,5d28e32d-a200-1926-79f9-772451f0c641,13XX E STREET SE,Ward 6,Cluster 26,Watkins,Watkins,,,,,,,,,,,,,,
1.2,1.1,ae35bc3b-9d0a-c62d-4407-7b2f3d109d5b,10XX MOUNT OLIVET ROAD NE,Ward 5,Cluster 23,Webb,Wheatley,,,,,,,,,,,,,,
1.2,1.1,ae35bc3b-9d0a-c62d-4407-7b2f3d109d5b,16XX Q STREET NW,Ward 2,Cluster 6,Ross,Ross,,,,,,,,,,,,,,
1.2,1.1,706265a3-19b1-cbda-e313-5660ba7a5518,40XX 13TH STREET NW,Ward 4,Cluster 18,Powell,Powell,,,3,,4,,,,,,,,,
1.2,1.1,a0ad1da5-04d5-0cb7-1482-37c8d49b6834,12XX F STREET NE,Ward 6,Cluster 25,Miner,Miner,,,,,,,,,,,,,,
1.2,1.1,59aa4fa8-9284-c74d-1160-e56e32bc709a,12XX DUNCAN PLACE NE,Ward 6,Cluster 25,Miner,Miner,2,,,,1,,2,,2,,3,,1,
1.2,1.1,a0ad1da5-04d5-0cb7-1482-37c8d49b6834,12XX F STREET NE,Ward 6,Cluster 25,Miner,Miner,,,,,,,,,,,,,,
1.2,1.1,ee00a922-79c0-ca8e-d1fe-0c0ec8c631d7,37XX WINDOM PLACE NW,Ward 3,Cluster 11,Hearst,Hearst,,,,,,,,,,,,,,
1.2,1.1,637cd98b-e10b-fbf5-e482-75794288ee69,13XX N STREET NW,Ward 2,Cluster 7,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,e5946195-a550-723a-7883-c9785a4ac7ac,18XX COLUMBIA ROAD NW,Ward 1,Cluster 1,Adams,Oyster-Adams Lower,,,,,,,,,,,,,,
1.2,1.1,bd068685-1d82-c980-b936-212e652d9d91,35XX 34TH STREET NW,Ward 3,Cluster 15,Eaton,Eaton,4,,1,"Replacing Deal with Hardy is very bad for the neighborhood.  Not only is it much more difficult to access Hardy from Cleveland Park, but Hardy is a much lower performing school than Deal.  
",4,,3,,2,,1,,2,
1.2,1.1,afacaf32-3832-bb78-9f4b-753ee5535958,20XX BELMONT ROAD NW,Ward 1,Cluster 1,Oyster,Oyster-Adams Lower,,,,,,,,,,,,,,
1.2,1.1,18f88ab4-9c4a-30a2-de82-e49670fa0b64,9XX 5TH STREET NE,Ward 6,Cluster 25,"Wilson,J.O.","Wilson, J.O.",,,,,,,,,,,,,,
1.2,1.1,18f88ab4-9c4a-30a2-de82-e49670fa0b64,9XX 5TH STREET NE,Ward 6,Cluster 25,"Wilson,J.O.","Wilson, J.O.",,,,,,,,,,,,,,
1.2,1.1,748f7fd3-acf4-03c6-9812-6ccb088dda52,12XX 10TH STREET NW,Ward 2,Cluster 7,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,637cd98b-e10b-fbf5-e482-75794288ee69,14XX 4TH STREET SW,Ward 6,Cluster 9,Amidon,Amidon-Bowen,,,,,,,,,,,,,,
1.2,1.1,ce78899e-9eda-b6da-e02b-ed0b0995d0a8,12XX 13TH STREET NW,Ward 2,Cluster 7,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,de1888f1-c594-34d2-df5c-daaf06b43ab0,13XX LOCUST ROAD NW,Ward 4,Cluster 16,Shepherd,Shepherd,,,,,,,,,,,,,,
1.2,1.1,50e9e8c5-5218-d192-d9a7-9830e02ae1e8,9XX G STREET SE,Ward 6,Cluster 26,Tyler,Tyler,3,"my kids do not currently attend Tyler, nor will they ever attend there.  The percentage of in-boundary students at Tyler is very low.",3,"Jefferson is difficult to reach via bike, foot or via public transportation",,,,,,,,,,
1.2,1.1,1208f345-48af-c7da-1856-21a426da7d01,15XX 33RD STREET NW,Ward 2,Cluster 4,Hyde,Hyde-Addison,5,,3,,1,,5,,3,,3,,4,
1.2,1.1,db391e07-44f6-22d8-80ab-965f667d02ab,2XX I STREET SE,Ward 6,Cluster 27,Bowen,Amidon-Bowen,,,,,,,,,,,,,,
1.2,1.1,50cadeb3-c454-107a-c65a-dfaa54d76605,16XX PENNSYLVANIA AVENUE NW,Ward 2,,Stevens,School Without Walls @ Francis-Stevens,,,,,,,,,,,,,,
1.2,1.1,748f7fd3-acf4-03c6-9812-6ccb088dda52,12XX 14TH STREET NW,Ward 2,Cluster 7,Thomson,Thomson,,,,,,,,,,,,,,
1.2,1.1,748f7fd3-acf4-03c6-9812-6ccb088dda52,14XX 5TH STREET NW,Ward 6,Cluster 7,Montgomery,Seaton,,,,,,,,,,,,,,
1.2,1.1,383e1b7b-95da-c9b3-1d9c-8902c49ee241,4XX 1ST STREET SE,Ward 6,Cluster 26,Brent,Brent,,,,,,,,,,,,,,
1.2,1.1,376bf665-8bb7-65c4-3877-54644cbaee94,11XX 4TH STREET NE,Ward 6,Cluster 25,"Wilson,J.O.","Wilson, J.O.",5,,5,"It's too confusing currently that our children would go to Stuart Hobson if they graduate from JO Wilson, but go to Walker-Jones if they start DCPS at middle school.  This proposal sounds much better and more consistent.",3,"I'd prefer that we have a consistent home elementary school, but I can see how this would be a useful change and all of these schools are still reasonably close to our house.",3,I'm okay with my children's middle school options being further away than their elementary school options.  We'd be happy with just having Stuart Hobson as our choice as it is now.,0,"We don't have any other relationship with Wheatley or the elementary schools that feed into it, so this doesn't seem like a positive change.",1,Our children shouldn't have to potentially trek all the way across DC for school.  A citywide lottery with local preference points (if it can't be a guarantee) would be acceptable.,3,This seems like a reasonable change.
1.2,1.1,383e1b7b-95da-c9b3-1d9c-8902c49ee241,18XX 12TH STREET NW,Ward 1,Cluster 3,Garrison,Garrison,,,,,,,,,,,,,,
1.2,1.1,0d9fc663-8c36-b271-1c9a-e28b83af5c80,4XX M STREET NE,Ward 6,Cluster 25,"Wilson,J.O.","Wilson, J.O.",,,,,,,,,,,,,,
1.2,1.1,0d9fc663-8c36-b271-1c9a-e28b83af5c80,9XX D STREET NE,Ward 6,Cluster 25,Peabody,Watkins,,,,,,,,,,,,,,
1.2,1.1,0d9fc663-8c36-b271-1c9a-e28b83af5c80,9XX D STREET NE,Ward 6,Cluster 25,Peabody,Watkins,,,,,,,,,,,,,,
1.2,1.1,4c7cb825-8157-6db4-384a-a6b4fe1addb6,28XX 29TH STREET NW,Ward 3,Cluster 15,Oyster,Oyster-Adams Lower,,,,,,,,,,,,,,
1.2,1.1,ce2c0ce9-60b2-67b4-3aee-d01c712455fb,45XX IOWA AVENUE NW,Ward 4,Cluster 18,West,Powell,,,,,,,,,,,,,,
1.2,1.1,909f1c2b-44b7-0bfe-b46b-bd243e5c172f,1XX 13TH STREET NE,Ward 6,Cluster 26,Maury,Maury,,,,,,,,,,,,,,
1.2,1.1,376bf665-8bb7-65c4-3877-54644cbaee94,1XX M STREET NE,Ward 6,Cluster 25,Walker-Jones,Walker-Jones,,,,,,,,,,,,,,
1.2,1.1,66be76ce-e1a8-d4d8-215c-249a927988e8,14XX SPRING ROAD NW,Ward 4,Cluster 18,Powell,Raymond,,,,,,,,,,,,,,
